"Title",Rate,"Category",Year
"Elephant",7.2,"Crime, Drama, Thriller",2003
"11:14",7.2,"Crime, Drama, Mystery",2003
"Red Dragon",7.2,"Crime, Drama, Thriller",2002
"Insomnia",7.2,"Drama, Mystery, Thriller",2002
"Frailty",7.2,"Crime, Drama, Thriller",2001
"The Bank Job",7.2,"Crime, Thriller",2008
"Arlington Road",7.2,"Crime, Drama, Thriller",1999
"Cube",7.2,"Drama, Mystery, Sci-Fi",1997
"Starship Troopers",7.2,"Action, Adventure, Sci-Fi",1997
"The Rainmaker",7.2,"Crime, Drama, Thriller",1997
"Michael Collins",7.2,"Biography, Drama, Thriller",1996
"Strange Days",7.2,"Action, Crime, Drama",1995
"In the Mouth of Madness",7.2,"Drama, Horror, Mystery",1995
"GoldenEye",7.2,"Action, Adventure, Thriller",1995
"Desperado",7.2,"Action, Crime, Thriller",1995
