"Title",Rate,"Category",Year
"The Craft",6.4,"Drama, Fantasy, Horror",1996
"Wes Craven's New Nightmare",6.4,"Fantasy, Horror, Mystery",1994
"Frankenstein",6.4,"Drama, Horror, Romance",1994
"The People Under the Stairs",6.4,"Comedy, Horror, Mystery",1991
"Gremlins 2: The New Batch",6.4,"Comedy, Fantasy, Horror",1990
"Arachnophobia",6.4,"Comedy, Fantasy, Horror",1990
"Apostle",6.3,"Drama, Fantasy, Horror",2018
"1922",6.3,"Crime, Drama, Horror",2017
"The Shallows",6.3,"Drama, Horror, Thriller",2016
"Dark Skies",6.3,"Horror, Sci-Fi, Thriller",2013
"13 Sins",6.3,"Horror, Thriller",2014
"Scouts Guide to the Zombie Apocalypse",6.3,"Action, Comedy, Horror",2015
"Before I Go to Sleep",6.3,"Drama, Horror, Mystery",2014
"Fright Night",6.3,"Comedy, Horror",2011
"Død snø",6.3,"Comedy, Horror",2009
"I Spit on Your Grave",6.3,"Horror, Thriller",2010
"Paranormal Activity",6.3,"Horror, Mystery, Thriller",2007
"Goosebumps",6.3,"Adventure, Comedy, Family",2015
"Dracula Untold",6.3,"Action, Drama, Fantasy",2014
"The Uninvited",6.3,"Drama, Horror, Mystery",2009
"Resident Evil: Extinction",6.3,"Action, Horror, Sci-Fi",2007
"Feast",6.3,"Action, Comedy, Horror",2005
"The Cell",6.3,"Horror, Sci-Fi, Thriller",2000
"Predator 2",6.3,"Action, Horror, Sci-Fi",1990
"The Amityville Horror",6.3,"Horror",1979
"The Hills Have Eyes",6.3,"Horror, Thriller",1977
"Damien: Omen II",6.3,"Horror",1978
"Happy Death Day 2U",6.2,"Comedy, Horror, Mystery",2019
"It Comes at Night",6.2,"Horror, Mystery",2017
"Scary Stories to Tell in the Dark",6.2,"Adventure, Horror, Mystery",2019
"Before I Wake",6.2,"Drama, Fantasy, Horror",2016
"As Above, So Below",6.2,"Horror, Mystery, Thriller",2014
"Open Grave",6.2,"Horror, Mystery, Thriller",2013
"The Neon Demon",6.2,"Horror, Thriller",2016
"Red Lights",6.2,"Drama, Fantasy, Horror",2012
"Devil",6.2,"Horror, Mystery, Thriller",2010
"Dark Shadows",6.2,"Comedy, Fantasy, Horror",2012
"Red State",6.2,"Action, Crime, Horror",2011
"Case 39",6.2,"Horror, Mystery, Thriller",2009
"Saw III",6.2,"Horror, Mystery, Thriller",2006
"The Strangers",6.2,"Horror, Thriller",2008
"Rogue",6.2,"Action, Adventure, Drama",2007
"Outlander",6.2,"Action, Adventure, Fantasy",2008
